name,min_player,max_player,min_play_time,max_play_time
Agricola,1,5,30,150
Aristo-Maze,3,4,80,80
En Garde,2,2,30,30
Legends of Andor,2,4,60,90
Legends of Andor:The Star Shield,2,4,60,90
Legends of Andor:Journey to the North,2,4,60,90
Cheating Moth,3,5,30,30
Elfenland,2,6,60,60
Palastgeflüster,3,5,45,45
Code of Nine,3,4,40,40
Saboteur,3,10,30,30
Saboteur2,2,12,45,45
Phantoms vs Phatoms,2,2,15,15
Catan,3,4,60,120
Carcassonne,2,5,30,45
Camel Up,2,8,20,30
King of Tokyo,2,6,30,30
Get Lucky,2,6,20,20
Phatom Detectives,3,4,60,60
Cockroach Poker,2,6,20,20

